"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus","button_pressed","responses"
"[{""page_index"":0,""viewing_time"":72537},{""page_index"":1,""viewing_time"":11390}]","83928","instructions","0","83933","0.0-0.0","014","","",""
"","12600","audio-button-response","1","96537","0.0-1.0","014","sound/soundcheck.mp3","0",""
"[{""page_index"":0,""viewing_time"":32978}]","32978","instructions","2","129518","0.0-2.0","014","","",""
"","null","audio-button-response","3","168213","0.0-3.0-0.0","014","sound/thatsAll_Melody_31.mp3","null",""
"","25006","survey-likert","4","193225","0.0-3.0-1.0","014","","","{""Q0"":3,""Q1"":3,""Q2"":3,""Q3"":3,""Q4"":0}"
"","null","audio-button-response","5","231925","0.0-3.0-0.1","014","sound/thatsAll_Lyrics_15.mp3","null",""
"","27337","survey-likert","6","259266","0.0-3.0-1.1","014","","","{""Q0"":1,""Q1"":3,""Q2"":6,""Q3"":6,""Q4"":0}"
"","null","audio-button-response","7","296546","0.0-3.0-0.2","014","sound/dream_Melody_27.mp3","null",""
"","22319","survey-likert","8","318868","0.0-3.0-1.2","014","","","{""Q0"":0,""Q1"":5,""Q2"":7,""Q3"":7,""Q4"":7}"
"","null","audio-button-response","9","353121","0.0-3.0-0.3","014","sound/willowSong_Lyrics_06.mp3","null",""
"","15855","survey-likert","10","368981","0.0-3.0-1.3","014","","","{""Q0"":1,""Q1"":5,""Q2"":7,""Q3"":7,""Q4"":0}"
"","null","audio-button-response","11","397274","0.0-3.0-0.4","014","sound/iWishYouLove_Lyrics_12.mp3","null",""
"","11801","survey-likert","12","409080","0.0-3.0-1.4","014","","","{""Q0"":4,""Q1"":5,""Q2"":5,""Q3"":1,""Q4"":0}"
"","null","audio-button-response","13","443277","0.0-3.0-0.5","014","sound/goognightMoon_Melody_25.mp3","null",""
"","10242","survey-likert","14","453522","0.0-3.0-1.5","014","","","{""Q0"":1,""Q1"":5,""Q2"":7,""Q3"":1,""Q4"":0}"
"","null","audio-button-response","15","490752","0.0-3.0-0.6","014","sound/bambi_Lyrics_08.mp3","null",""
"","11567","survey-likert","16","502324","0.0-3.0-1.6","014","","","{""Q0"":4,""Q1"":3,""Q2"":3,""Q3"":3,""Q4"":0}"
"","null","audio-button-response","17","535086","0.0-3.0-0.7","014","sound/owlAPussyCat_Lyrics_02.mp3","null",""
