"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus","button_pressed","responses"
"[{""page_index"":0,""viewing_time"":1227},{""page_index"":1,""viewing_time"":809},{""page_index"":2,""viewing_time"":4954},{""page_index"":1,""viewing_time"":1745},{""page_index"":2,""viewing_time"":5557}]","14293","instructions","0","14296","0.0-0.0","999","","",""
"","5103","audio-button-response","1","19411","0.0-1.0","999","sound/speech_green.mp3","0",""
"","null","audio-button-response","2","50657","0.0-2.0-0.0","999","sound/onMusic_Lyrics_01.mp3","null",""
"","106859","survey-likert","3","157550","0.0-2.0-1.0","999","","","{""Q0"":4,""Q1"":4,""Q2"":4,""Q3"":4,""Q4"":4}"
"","null","audio-button-response","4","192951","0.0-2.0-0.1","999","sound/theCage_Melody_30.mp3","null",""
"","6969","survey-likert","5","199928","0.0-2.0-1.1","999","","","{""Q0"":4,""Q1"":4,""Q2"":4,""Q3"":4,""Q4"":4}"
"","null","audio-button-response","6","237127","0.0-2.0-0.2","999","sound/silentMoon_Melody_26.mp3","null",""
"","14597","survey-likert","7","251727","0.0-2.0-1.2","999","","","{""Q0"":4,""Q1"":5,""Q2"":4,""Q3"":4,""Q4"":4}"
"","null","audio-button-response","8","285890","0.0-2.0-0.3","999","sound/goognightMoon_Lyrics_09.mp3","null",""
"","12117","survey-likert","9","298009","0.0-2.0-1.3","999","","","{""Q0"":5,""Q1"":6,""Q2"":5,""Q3"":1,""Q4"":4}"
"","null","audio-button-response","10","333725","0.0-2.0-0.4","999","sound/dancinInTheMoonlightC_Lyrics_03.mp3","null",""
"","9799","survey-likert","11","343526","0.0-2.0-1.4","999","","","{""Q0"":6,""Q1"":5,""Q2"":2,""Q3"":2,""Q4"":4}"
"","null","audio-button-response","12","376264","0.0-2.0-0.5","999","sound/owlAPussyCat_Melody_18.mp3","null",""
"","5973","survey-likert","13","382242","0.0-2.0-1.5","999","","","{""Q0"":4,""Q1"":4,""Q2"":4,""Q3"":4,""Q4"":4}"
"","null","audio-button-response","14","416473","0.0-2.0-0.6","999","sound/everyTimeWeSayGoodbye_Lyrics_07.mp3","null",""
"","6584","survey-likert","15","423060","0.0-2.0-1.6","999","","","{""Q0"":4,""Q1"":4,""Q2"":4,""Q3"":4,""Q4"":4}"
"","null","audio-button-response","16","460253","0.0-2.0-0.7","999","sound/dream_Lyrics_11.mp3","null",""
"","6582","survey-likert","17","466839","0.0-2.0-1.7","999","","","{""Q0"":4,""Q1"":4,""Q2"":4,""Q3"":4,""Q4"":4}"
"","null","audio-button-response","18","501279","0.0-2.0-0.8","999","sound/willowSong_Melody_22.mp3","null",""
"","7206","survey-likert","19","508490","0.0-2.0-1.8","999","","","{""Q0"":4,""Q1"":4,""Q2"":4,""Q3"":4,""Q4"":4}"
"","null","audio-button-response","20","539971","0.0-2.0-0.9","999","sound/noMoreMissNice_Melody_32.mp3","null",""
"","8217","survey-likert","21","548192","0.0-2.0-1.9","999","","","{""Q0"":4,""Q1"":4,""Q2"":4,""Q3"":4,""Q4"":4}"
"","null","audio-button-response","22","585390","0.0-2.0-0.10","999","sound/takeYouAb_Melody_20.mp3","null",""
"","6536","survey-likert","23","591930","0.0-2.0-1.10","999","","","{""Q0"":4,""Q1"":4,""Q2"":4,""Q3"":4,""Q4"":4}"
"","null","audio-button-response","24","623170","0.0-2.0-0.11","999","sound/theCrucifixion_Lyrics_05.mp3","null",""
"","7510","survey-likert","25","630683","0.0-2.0-1.11","999","","","{""Q0"":4,""Q1"":4,""Q2"":4,""Q3"":4,""Q4"":4}"
"","null","audio-button-response","26","658953","0.0-2.0-0.12","999","sound/iWishYouLove_Melody_28.mp3","null",""
"","124603","survey-likert","27","783563","0.0-2.0-1.12","999","","","{""Q0"":4,""Q1"":4,""Q2"":4,""Q3"":4,""Q4"":4}"
"","null","audio-button-response","28","819268","0.0-2.0-0.13","999","sound/toThisWeveCome_Lyrics_13.mp3","null",""
"","11401","survey-likert","29","830672","0.0-2.0-1.13","999","","","{""Q0"":4,""Q1"":4,""Q2"":4,""Q3"":6,""Q4"":4}"
"","null","audio-button-response","30","867903","0.0-2.0-0.14","999","sound/bambi_Melody_24.mp3","null",""
"","6437","survey-likert","31","874344","0.0-2.0-1.14","999","","","{""Q0"":4,""Q1"":4,""Q2"":4,""Q3"":4,""Q4"":4}"
"","null","audio-button-response","32","908505","0.0-3.0-0.0","999","sound/goognightMoon_Melody_25.mp3","null",""
"","42486","survey-likert","33","950995","0.0-3.0-1.0","999","","","{""Q0"":4,""Q1"":4,""Q2"":4,""Q3"":4,""Q4"":4}"
"","null","audio-button-response","34","982230","0.0-3.0-0.1","999","sound/theCrucifixion_Melody_21.mp3","null",""
"","53833","survey-likert","35","1036068","0.0-3.0-1.1","999","","","{""Q0"":4,""Q1"":4,""Q2"":4,""Q3"":4,""Q4"":4}"
"","null","audio-button-response","36","1070481","0.0-3.0-0.2","999","sound/theCage_Lyrics_14.mp3","null",""
"","147753","survey-likert","37","1218257","0.0-3.0-1.2","999","","","{""Q0"":4,""Q1"":4,""Q2"":4,""Q3"":4,""Q4"":4}"
"","null","audio-button-response","38","1255460","0.0-3.0-0.3","999","sound/dream_Melody_27.mp3","null",""
"","250663","survey-likert","39","1506135","0.0-3.0-1.3","999","","","{""Q0"":4,""Q1"":4,""Q2"":4,""Q3"":4,""Q4"":4}"
"","null","audio-button-response","40","1543326","0.0-3.0-0.4","999","sound/silentMoon_Lyrics_10.mp3","null",""
"","6762","survey-likert","41","1550093","0.0-3.0-1.4","999","","","{""Q0"":4,""Q1"":4,""Q2"":4,""Q3"":4,""Q4"":4}"
"","null","audio-button-response","42","1588747","0.0-3.0-0.5","999","sound/thatsAll_Melody_31.mp3","null",""
"","5794","survey-likert","43","1594550","0.0-3.0-1.5","999","","","{""Q0"":4,""Q1"":4,""Q2"":4,""Q3"":4,""Q4"":4}"
"","null","audio-button-response","44","1627296","0.0-3.0-0.6","999","sound/owlAPussyCat_Lyrics_02.mp3","null",""
"","6883","survey-likert","45","1634185","0.0-3.0-1.6","999","","","{""Q0"":4,""Q1"":4,""Q2"":4,""Q3"":4,""Q4"":4}"
"","null","audio-button-response","46","1668405","0.0-3.0-0.7","999","sound/willowSong_Lyrics_06.mp3","null",""
"","48493","survey-likert","47","1716902","0.0-3.0-1.7","999","","","{""Q0"":4,""Q1"":4,""Q2"":4,""Q3"":4,""Q4"":4}"
"","null","audio-button-response","48","1752614","0.0-3.0-0.8","999","sound/toThisWeveCome_Melody_29.mp3","null",""
"","28199","survey-likert","49","1780818","0.0-3.0-1.8","999","","","{""Q0"":4,""Q1"":4,""Q2"":4,""Q3"":4,""Q4"":4}"
"","null","audio-button-response","50","1812059","0.0-3.0-0.9","999","sound/onMusic_Melody_17.mp3","null",""
"","34503","survey-likert","51","1846566","0.0-3.0-1.9","999","","","{""Q0"":4,""Q1"":4,""Q2"":4,""Q3"":4,""Q4"":4}"
"","null","audio-button-response","52","1874837","0.0-3.0-0.10","999","sound/iWishYouLove_Lyrics_12.mp3","null",""
"","6969","survey-likert","53","1881808","0.0-3.0-1.10","999","","","{""Q0"":4,""Q1"":4,""Q2"":4,""Q3"":4,""Q4"":4}"
"","null","audio-button-response","54","1919002","0.0-3.0-0.11","999","sound/bambi_Lyrics_08.mp3","null",""
"","55451","survey-likert","55","1974457","0.0-3.0-1.11","999","","","{""Q0"":4,""Q1"":4,""Q2"":4,""Q3"":4,""Q4"":4}"
"","null","audio-button-response","56","2010167","0.0-3.0-0.12","999","sound/dancinInTheMoonlightC_Melody_19.mp3","null",""
"","7104","survey-likert","57","2017278","0.0-3.0-1.12","999","","","{""Q0"":4,""Q1"":4,""Q2"":4,""Q3"":4,""Q4"":4}"
