"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus","button_pressed","responses"
"[{""page_index"":0,""viewing_time"":17134},{""page_index"":1,""viewing_time"":18493}]","35627","instructions","0","35635","0.0-0.0","015","","",""
"","7644","audio-button-response","1","43284","0.0-1.0","015","sound/soundcheck.mp3","0",""
"[{""page_index"":0,""viewing_time"":8386}]","8386","instructions","2","51673","0.0-2.0","015","","",""
"","32333","audio-button-response","3","86119","0.0-3.0-0.0","015","sound/theCage_Melody_30.mp3","0",""
"","26096","survey-likert","4","112221","0.0-3.0-1.0","015","","","{""Q0"":4,""Q1"":8,""Q2"":3,""Q3"":0,""Q4"":0}"
"","20875","audio-button-response","5","143734","0.0-3.0-0.1","015","sound/noMoreMissNice_Melody_32.mp3","0",""
"","10671","survey-likert","6","154409","0.0-3.0-1.1","015","","","{""Q0"":6,""Q1"":5,""Q2"":0,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","7","182708","0.0-3.0-0.2","015","sound/iWishYouLove_Melody_28.mp3","null",""
"","12953","survey-likert","8","195663","0.0-3.0-1.2","015","","","{""Q0"":3,""Q1"":4,""Q2"":5,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","9","231405","0.0-3.0-0.3","015","sound/dancinInTheMoonlightC_Lyrics_03.mp3","null",""
"","9201","survey-likert","10","240608","0.0-3.0-1.3","015","","","{""Q0"":4,""Q1"":4,""Q2"":3,""Q3"":0,""Q4"":2}"
"","null","audio-button-response","11","277842","0.0-3.0-0.4","015","sound/takeYouAb_Melody_20.mp3","null",""
"","11562","survey-likert","12","289407","0.0-3.0-1.4","015","","","{""Q0"":6,""Q1"":8,""Q2"":0,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","13","326647","0.0-3.0-0.5","015","sound/bambi_Melody_24.mp3","null",""
"","12538","survey-likert","14","339188","0.0-3.0-1.5","015","","","{""Q0"":4,""Q1"":4,""Q2"":0,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","15","370462","0.0-3.0-0.6","015","sound/theCrucifixion_Lyrics_05.mp3","null",""
"","8740","survey-likert","16","379249","0.0-3.0-1.6","015","","","{""Q0"":0,""Q1"":4,""Q2"":4,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","17","414995","0.0-3.0-0.7","015","sound/toThisWeveCome_Lyrics_13.mp3","null",""
"","7288","survey-likert","18","422287","0.0-3.0-1.7","015","","","{""Q0"":0,""Q1"":0,""Q2"":0,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","19","453560","0.0-3.0-0.8","015","sound/onMusic_Lyrics_01.mp3","null",""
"","8352","survey-likert","20","461914","0.0-3.0-1.8","015","","","{""Q0"":4,""Q1"":4,""Q2"":4,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","21","496117","0.0-3.0-0.9","015","sound/goognightMoon_Lyrics_09.mp3","null",""
"","6357","survey-likert","22","502478","0.0-3.0-1.9","015","","","{""Q0"":4,""Q1"":4,""Q2"":3,""Q3"":2,""Q4"":0}"
"","null","audio-button-response","23","539712","0.0-3.0-0.10","015","sound/silentMoon_Melody_26.mp3","null",""
"","9251","survey-likert","24","548967","0.0-3.0-1.10","015","","","{""Q0"":0,""Q1"":4,""Q2"":4,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","25","583429","0.0-3.0-0.11","015","sound/willowSong_Melody_22.mp3","null",""
"","10896","survey-likert","26","594327","0.0-3.0-1.11","015","","","{""Q0"":0,""Q1"":4,""Q2"":4,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","27","631564","0.0-3.0-0.12","015","sound/dream_Lyrics_11.mp3","null",""
"","7715","survey-likert","28","639282","0.0-3.0-1.12","015","","","{""Q0"":8,""Q1"":8,""Q2"":0,""Q3"":0,""Q4"":4}"
"","null","audio-button-response","29","673539","0.0-3.0-0.13","015","sound/everyTimeWeSayGoodbye_Lyrics_07.mp3","null",""
"","8847","survey-likert","30","682389","0.0-3.0-1.13","015","","","{""Q0"":4,""Q1"":6,""Q2"":2,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","31","715155","0.0-3.0-0.14","015","sound/owlAPussyCat_Melody_18.mp3","null",""
"","7852","survey-likert","32","723051","0.0-3.0-1.14","015","","","{""Q0"":4,""Q1"":4,""Q2"":4,""Q3"":4,""Q4"":4}"
"","null","audio-button-response","33","757304","0.0-4.0-0.0","015","sound/willowSong_Lyrics_06.mp3","null",""
"","8884","survey-likert","34","766191","0.0-4.0-1.0","015","","","{""Q0"":4,""Q1"":4,""Q2"":4,""Q3"":4,""Q4"":4}"
"","null","audio-button-response","35","803430","0.0-4.0-0.1","015","sound/dream_Melody_27.mp3","null",""
"","9329","survey-likert","36","812762","0.0-4.0-1.1","015","","","{""Q0"":4,""Q1"":4,""Q2"":4,""Q3"":0,""Q4"":6}"
"","null","audio-button-response","37","849995","0.0-4.0-0.2","015","sound/bambi_Lyrics_08.mp3","null",""
"","7488","survey-likert","38","857486","0.0-4.0-1.2","015","","","{""Q0"":4,""Q1"":4,""Q2"":4,""Q3"":4,""Q4"":6}"
"","null","audio-button-response","39","889001","0.0-4.0-0.3","015","sound/noMoreMissNice_Lyrics_16.mp3","null",""
"","9524","survey-likert","40","898529","0.0-4.0-1.3","015","","","{""Q0"":7,""Q1"":4,""Q2"":0,""Q3"":0,""Q4"":6}"
"","null","audio-button-response","41","926828","0.0-4.0-0.4","015","sound/iWishYouLove_Lyrics_12.mp3","null",""
"","8575","survey-likert","42","935407","0.0-4.0-1.4","015","","","{""Q0"":4,""Q1"":8,""Q2"":0,""Q3"":0,""Q4"":4}"
"","null","audio-button-response","43","971154","0.0-4.0-0.5","015","sound/dancinInTheMoonlightC_Melody_19.mp3","null",""
"","8303","survey-likert","44","979459","0.0-4.0-1.5","015","","","{""Q0"":4,""Q1"":4,""Q2"":0,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","45","1013720","0.0-4.0-0.6","015","sound/everyTimeWeSayGoodbye_Melody_23.mp3","null",""
"","7944","survey-likert","46","1021667","0.0-4.0-1.6","015","","","{""Q0"":4,""Q1"":4,""Q2"":0,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","47","1056116","0.0-4.0-0.7","015","sound/theCage_Lyrics_14.mp3","null",""
"","7480","survey-likert","48","1063599","0.0-4.0-1.7","015","","","{""Q0"":0,""Q1"":8,""Q2"":0,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","49","1100874","0.0-4.0-0.8","015","sound/takeYouAb_Lyrics_04.mp3","null",""
"","5895","survey-likert","50","1106771","0.0-4.0-1.8","015","","","{""Q0"":8,""Q1"":8,""Q2"":0,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","51","1144002","0.0-4.0-0.9","015","sound/silentMoon_Lyrics_10.mp3","null",""
"","7807","survey-likert","52","1151813","0.0-4.0-1.9","015","","","{""Q0"":0,""Q1"":0,""Q2"":4,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","53","1190508","0.0-4.0-0.10","015","sound/thatsAll_Lyrics_15.mp3","null",""
"","6968","survey-likert","54","1197481","0.0-4.0-1.10","015","","","{""Q0"":0,""Q1"":0,""Q2"":0,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","55","1228755","0.0-4.0-0.11","015","sound/theCrucifixion_Melody_21.mp3","null",""
"","7248","survey-likert","56","1236005","0.0-4.0-1.11","015","","","{""Q0"":0,""Q1"":0,""Q2"":0,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","57","1268771","0.0-4.0-0.12","015","sound/owlAPussyCat_Lyrics_02.mp3","null",""
"","8739","survey-likert","58","1277514","0.0-4.0-1.12","015","","","{""Q0"":0,""Q1"":0,""Q2"":0,""Q3"":8,""Q4"":0}"
"","null","audio-button-response","59","1316206","0.0-4.0-0.13","015","sound/thatsAll_Melody_31.mp3","null",""
"","7924","survey-likert","60","1324133","0.0-4.0-1.13","015","","","{""Q0"":0,""Q1"":0,""Q2"":0,""Q3"":0,""Q4"":2}"
"","null","audio-button-response","61","1358343","0.0-4.0-0.14","015","sound/goognightMoon_Melody_25.mp3","null",""
"","9176","survey-likert","62","1367521","0.0-4.0-1.14","015","","","{""Q0"":0,""Q1"":0,""Q2"":0,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","63","1398799","0.0-4.0-0.15","015","sound/onMusic_Melody_17.mp3","null",""
"","7604","survey-likert","64","1406405","0.0-4.0-1.15","015","","","{""Q0"":0,""Q1"":0,""Q2"":0,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","65","1442144","0.0-4.0-0.16","015","sound/toThisWeveCome_Melody_29.mp3","null",""
"","7310","survey-likert","66","1449459","0.0-4.0-1.16","015","","","{""Q0"":0,""Q1"":0,""Q2"":0,""Q3"":8,""Q4"":0}"
"","6497","survey-text","67","1455991","0.0-5.0","015","","","{""Q0"":""yes""}"
"","4006","survey-text","68","1460000","0.0-6.0","015","","","{""Q0"":""yes""}"
"","5151","survey-text","69","1465152","0.0-7.0","015","","","{""Q0"":""no""}"
