"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus","button_pressed","responses"
"[{""page_index"":0,""viewing_time"":5987},{""page_index"":1,""viewing_time"":2496}]","8484","instructions","0","8495","0.0-0.0","016","","",""
"","11761","audio-button-response","1","20263","0.0-1.0","016","sound/soundcheck.mp3","0",""
"[{""page_index"":0,""viewing_time"":13913}]","13913","instructions","2","34182","0.0-2.0","016","","",""
"","null","audio-button-response","3","71425","0.0-3.0-0.0","016","sound/takeYouAb_Lyrics_04.mp3","null",""
"","21072","survey-likert","4","92507","0.0-3.0-1.0","016","","","{""Q0"":5,""Q1"":1,""Q2"":3,""Q3"":1,""Q4"":0}"
"","null","audio-button-response","5","129749","0.0-3.0-0.1","016","sound/silentMoon_Lyrics_10.mp3","null",""
"","15384","survey-likert","6","145138","0.0-3.0-1.1","016","","","{""Q0"":4,""Q1"":7,""Q2"":3,""Q3"":1,""Q4"":2}"
"","null","audio-button-response","7","179341","0.0-3.0-0.2","016","sound/goognightMoon_Melody_25.mp3","null",""
"","18908","survey-likert","8","198251","0.0-3.0-1.2","016","","","{""Q0"":3,""Q1"":5,""Q2"":5,""Q3"":1,""Q4"":0}"
"","null","audio-button-response","9","235485","0.0-3.0-0.3","016","sound/dream_Melody_27.mp3","null",""
"","16484","survey-likert","10","251970","0.0-3.0-1.3","016","","","{""Q0"":4,""Q1"":6,""Q2"":4,""Q3"":1,""Q4"":6}"
"","null","audio-button-response","11","284731","0.0-3.0-0.4","016","sound/owlAPussyCat_Lyrics_02.mp3","null",""
"","21776","survey-likert","12","306509","0.0-3.0-1.4","016","","","{""Q0"":5,""Q1"":1,""Q2"":2,""Q3"":2,""Q4"":0}"
"","null","audio-button-response","13","340948","0.0-3.0-0.5","016","sound/theCage_Lyrics_14.mp3","null",""
"","18212","survey-likert","14","359208","0.0-3.0-1.5","016","","","{""Q0"":2,""Q1"":2,""Q2"":7,""Q3"":6,""Q4"":0}"
"","null","audio-button-response","15","394952","0.0-3.0-0.6","016","sound/toThisWeveCome_Melody_29.mp3","null",""
