"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus","button_pressed","responses"
"[{""page_index"":0,""viewing_time"":17896},{""page_index"":1,""viewing_time"":17277}]","35175","instructions","0","35178","0.0-0.0","018","","",""
"","19882","audio-button-response","1","55070","0.0-1.0","018","sound/soundcheck.mp3","0",""
"[{""page_index"":0,""viewing_time"":23398}]","23398","instructions","2","78471","0.0-2.0","018","","",""
"","null","audio-button-response","3","109745","0.0-3.0-0.0","018","sound/onMusic_Lyrics_01.mp3","null",""
"","23966","survey-likert","4","133719","0.0-3.0-1.0","018","","","{""Q0"":6,""Q1"":6,""Q2"":0,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","5","162019","0.0-3.0-0.1","018","sound/iWishYouLove_Melody_28.mp3","null",""
"","17847","survey-likert","6","179870","0.0-3.0-1.1","018","","","{""Q0"":0,""Q1"":1,""Q2"":7,""Q3"":4,""Q4"":0}"
"","null","audio-button-response","7","214372","0.0-3.0-0.2","018","sound/willowSong_Melody_22.mp3","null",""
"","16739","survey-likert","8","231114","0.0-3.0-1.2","018","","","{""Q0"":5,""Q1"":4,""Q2"":1,""Q3"":4,""Q4"":2}"
"","null","audio-button-response","9","268348","0.0-3.0-0.3","018","sound/dream_Lyrics_11.mp3","null",""
"","25538","survey-likert","10","293890","0.0-3.0-1.3","018","","","{""Q0"":5,""Q1"":4,""Q2"":6,""Q3"":0,""Q4"":6}"
"","null","audio-button-response","11","328319","0.0-3.0-0.4","018","sound/theCage_Melody_30.mp3","null",""
"","14805","survey-likert","12","343129","0.0-3.0-1.4","018","","","{""Q0"":0,""Q1"":0,""Q2"":8,""Q3"":7,""Q4"":2}"
"","null","audio-button-response","13","378871","0.0-3.0-0.5","018","sound/dancinInTheMoonlightC_Lyrics_03.mp3","null",""
"","14296","survey-likert","14","393170","0.0-3.0-1.5","018","","","{""Q0"":7,""Q1"":4,""Q2"":0,""Q3"":0,""Q4"":2}"
"","null","audio-button-response","15","428914","0.0-3.0-0.6","018","sound/toThisWeveCome_Lyrics_13.mp3","null",""
"","13933","survey-likert","16","442895","0.0-3.0-1.6","018","","","{""Q0"":0,""Q1"":0,""Q2"":6,""Q3"":8,""Q4"":0}"
"","null","audio-button-response","17","480133","0.0-3.0-0.7","018","sound/bambi_Melody_24.mp3","null",""
"","16940","survey-likert","18","497076","0.0-3.0-1.7","018","","","{""Q0"":3,""Q1"":3,""Q2"":5,""Q3"":6,""Q4"":3}"
"","null","audio-button-response","19","528594","0.0-3.0-0.8","018","sound/noMoreMissNice_Melody_32.mp3","null",""
"","15248","survey-likert","20","543845","0.0-3.0-1.8","018","","","{""Q0"":2,""Q1"":2,""Q2"":7,""Q3"":8,""Q4"":4}"
"","null","audio-button-response","21","581076","0.0-3.0-0.9","018","sound/takeYouAb_Melody_20.mp3","null",""
"","11676","survey-likert","22","592756","0.0-3.0-1.9","018","","","{""Q0"":5,""Q1"":5,""Q2"":5,""Q3"":5,""Q4"":4}"
"","null","audio-button-response","23","624029","0.0-3.0-0.10","018","sound/theCrucifixion_Lyrics_05.mp3","null",""
"","14341","survey-likert","24","638373","0.0-3.0-1.10","018","","","{""Q0"":0,""Q1"":6,""Q2"":8,""Q3"":4,""Q4"":0}"
"","null","audio-button-response","25","672572","0.0-3.0-0.11","018","sound/goognightMoon_Lyrics_09.mp3","null",""
"","19031","survey-likert","26","691650","0.0-3.0-1.11","018","","","{""Q0"":4,""Q1"":6,""Q2"":4,""Q3"":0,""Q4"":6}"
"","null","audio-button-response","27","724412","0.0-3.0-0.12","018","sound/owlAPussyCat_Melody_18.mp3","null",""
"","12509","survey-likert","28","736926","0.0-3.0-1.12","018","","","{""Q0"":5,""Q1"":4,""Q2"":4,""Q3"":7,""Q4"":4}"
"","null","audio-button-response","29","771174","0.0-3.0-0.13","018","sound/everyTimeWeSayGoodbye_Lyrics_07.mp3","null",""
"","11549","survey-likert","30","782726","0.0-3.0-1.13","018","","","{""Q0"":0,""Q1"":6,""Q2"":8,""Q3"":0,""Q4"":6}"
"","null","audio-button-response","31","819957","0.0-3.0-0.14","018","sound/silentMoon_Melody_26.mp3","null",""
"","14278","survey-likert","32","834238","0.0-3.0-1.14","018","","","{""Q0"":2,""Q1"":4,""Q2"":5,""Q3"":4,""Q4"":4}"
"","null","audio-button-response","33","871470","0.0-4.0-0.0","018","sound/bambi_Lyrics_08.mp3","null",""
"","14734","survey-likert","34","886206","0.0-4.0-1.0","018","","","{""Q0"":4,""Q1"":5,""Q2"":5,""Q3"":2,""Q4"":6}"
"","null","audio-button-response","35","923441","0.0-4.0-0.1","018","sound/dream_Melody_27.mp3","null",""
"","19209","survey-likert","36","942654","0.0-4.0-1.1","018","","","{""Q0"":4,""Q1"":4,""Q2"":5,""Q3"":6,""Q4"":8}"
"","null","audio-button-response","37","979932","0.0-4.0-0.2","018","sound/silentMoon_Lyrics_10.mp3","null",""
"","12178","survey-likert","38","992114","0.0-4.0-1.2","018","","","{""Q0"":7,""Q1"":6,""Q2"":2,""Q3"":2,""Q4"":0}"
"","null","audio-button-response","39","1023630","0.0-4.0-0.3","018","sound/noMoreMissNice_Lyrics_16.mp3","null",""
"","17826","survey-likert","40","1041459","0.0-4.0-1.3","018","","","{""Q0"":3,""Q1"":5,""Q2"":5,""Q3"":6,""Q4"":6}"
"","null","audio-button-response","41","1072730","0.0-4.0-0.4","018","sound/theCrucifixion_Melody_21.mp3","null",""
"","14312","survey-likert","42","1087043","0.0-4.0-1.4","018","","","{""Q0"":0,""Q1"":6,""Q2"":8,""Q3"":4,""Q4"":8}"
"","null","audio-button-response","43","1121295","0.0-4.0-0.5","018","sound/everyTimeWeSayGoodbye_Melody_23.mp3","null",""
"","13970","survey-likert","44","1135270","0.0-4.0-1.5","018","","","{""Q0"":4,""Q1"":8,""Q2"":6,""Q3"":0,""Q4"":8}"
"","null","audio-button-response","45","1173965","0.0-4.0-0.6","018","sound/thatsAll_Melody_31.mp3","null",""
"","12283","survey-likert","46","1186250","0.0-4.0-1.6","018","","","{""Q0"":5,""Q1"":4,""Q2"":4,""Q3"":5,""Q4"":8}"
"","null","audio-button-response","47","1222036","0.0-4.0-0.7","018","sound/toThisWeveCome_Melody_29.mp3","null",""
"","12365","survey-likert","48","1234403","0.0-4.0-1.7","018","","","{""Q0"":0,""Q1"":0,""Q2"":4,""Q3"":8,""Q4"":8}"
"","null","audio-button-response","49","1268610","0.0-4.0-0.8","018","sound/goognightMoon_Melody_25.mp3","null",""
"","12153","survey-likert","50","1280765","0.0-4.0-1.8","018","","","{""Q0"":4,""Q1"":4,""Q2"":6,""Q3"":4,""Q4"":2}"
"","null","audio-button-response","51","1315023","0.0-4.0-0.9","018","sound/willowSong_Lyrics_06.mp3","null",""
"","13337","survey-likert","52","1328364","0.0-4.0-1.9","018","","","{""Q0"":4,""Q1"":6,""Q2"":7,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","53","1365595","0.0-4.0-0.10","018","sound/takeYouAb_Lyrics_04.mp3","null",""
"","11366","survey-likert","54","1376964","0.0-4.0-1.10","018","","","{""Q0"":8,""Q1"":4,""Q2"":0,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","55","1411408","0.0-4.0-0.11","018","sound/theCage_Lyrics_14.mp3","null",""
"","11267","survey-likert","56","1422678","0.0-4.0-1.11","018","","","{""Q0"":2,""Q1"":5,""Q2"":6,""Q3"":3,""Q4"":0}"
"","null","audio-button-response","57","1455442","0.0-4.0-0.12","018","sound/owlAPussyCat_Lyrics_02.mp3","null",""
"","9251","survey-likert","58","1464738","0.0-4.0-1.12","018","","","{""Q0"":4,""Q1"":4,""Q2"":4,""Q3"":4,""Q4"":0}"
"","null","audio-button-response","59","1503430","0.0-4.0-0.13","018","sound/thatsAll_Lyrics_15.mp3","null",""
