"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus","button_pressed","responses"
"[{""page_index"":0,""viewing_time"":82078},{""page_index"":1,""viewing_time"":9485}]","91563","instructions","0","91570","0.0-0.0","013","","",""
"","18679","audio-button-response","1","110255","0.0-1.0","013","sound/soundcheck.mp3","0",""
"[{""page_index"":0,""viewing_time"":7497}]","7497","instructions","2","117758","0.0-2.0","013","","",""
"","null","audio-button-response","3","152200","0.0-3.0-0.0","013","sound/theCage_Melody_30.mp3","null",""
"","32921","survey-likert","4","185128","0.0-3.0-1.0","013","","","{""Q0"":1,""Q1"":2,""Q2"":7,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","5","220871","0.0-3.0-0.1","013","sound/toThisWeveCome_Lyrics_13.mp3","null",""
"","14552","survey-likert","6","235470","0.0-3.0-1.1","013","","","{""Q0"":0,""Q1"":0,""Q2"":6,""Q3"":6,""Q4"":0}"
"","null","audio-button-response","7","266745","0.0-3.0-0.2","013","sound/onMusic_Lyrics_01.mp3","null",""
"","15851","survey-likert","8","282598","0.0-3.0-1.2","013","","","{""Q0"":6,""Q1"":6,""Q2"":1,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","9","316851","0.0-3.0-0.3","013","sound/everyTimeWeSayGoodbye_Lyrics_07.mp3","null",""
"","12073","survey-likert","10","328927","0.0-3.0-1.3","013","","","{""Q0"":4,""Q1"":6,""Q2"":6,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","11","363134","0.0-3.0-0.4","013","sound/goognightMoon_Lyrics_09.mp3","null",""
"","20209","survey-likert","12","383345","0.0-3.0-1.4","013","","","{""Q0"":4,""Q1"":7,""Q2"":4,""Q3"":0,""Q4"":4}"
"","null","audio-button-response","13","416108","0.0-3.0-0.5","013","sound/owlAPussyCat_Melody_18.mp3","null",""
"","17527","survey-likert","14","433640","0.0-3.0-1.5","013","","","{""Q0"":2,""Q1"":2,""Q2"":4,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","15","470880","0.0-3.0-0.6","013","sound/takeYouAb_Melody_20.mp3","null",""
"","11500","survey-likert","16","482385","0.0-3.0-1.6","013","","","{""Q0"":6,""Q1"":2,""Q2"":0,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","17","513654","0.0-3.0-0.7","013","sound/theCrucifixion_Lyrics_05.mp3","null",""
"","21802","survey-likert","18","535505","0.0-3.0-1.7","013","","","{""Q0"":0,""Q1"":4,""Q2"":6,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","19","572737","0.0-3.0-0.8","013","sound/dream_Lyrics_11.mp3","null",""
"","15303","survey-likert","20","588043","0.0-3.0-1.8","013","","","{""Q0"":7,""Q1"":6,""Q2"":2,""Q3"":0,""Q4"":8}"
"","null","audio-button-response","21","623789","0.0-3.0-0.9","013","sound/dancinInTheMoonlightC_Lyrics_03.mp3","null",""
"","10814","survey-likert","22","634605","0.0-3.0-1.9","013","","","{""Q0"":5,""Q1"":4,""Q2"":0,""Q3"":0,""Q4"":4}"
"","null","audio-button-response","23","671844","0.0-3.0-0.10","013","sound/bambi_Melody_24.mp3","null",""
"","11470","survey-likert","24","683318","0.0-3.0-1.10","013","","","{""Q0"":4,""Q1"":5,""Q2"":1,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","25","714827","0.0-3.0-0.11","013","sound/noMoreMissNice_Melody_32.mp3","null",""
"","13147","survey-likert","26","727977","0.0-3.0-1.11","013","","","{""Q0"":0,""Q1"":4,""Q2"":0,""Q3"":4,""Q4"":0}"
"","null","audio-button-response","27","756273","0.0-3.0-0.12","013","sound/iWishYouLove_Melody_28.mp3","null",""
"","9128","survey-likert","28","765404","0.0-3.0-1.12","013","","","{""Q0"":0,""Q1"":6,""Q2"":5,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","29","802678","0.0-3.0-0.13","013","sound/silentMoon_Melody_26.mp3","null",""
"","6632","survey-likert","30","809314","0.0-3.0-1.13","013","","","{""Q0"":4,""Q1"":5,""Q2"":4,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","31","843776","0.0-3.0-0.14","013","sound/willowSong_Melody_22.mp3","null",""
"","9833","survey-likert","32","853611","0.0-3.0-1.14","013","","","{""Q0"":5,""Q1"":6,""Q2"":4,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","33","886371","0.0-4.0-0.0","013","sound/owlAPussyCat_Lyrics_02.mp3","null",""
"","14191","survey-likert","34","900565","0.0-4.0-1.0","013","","","{""Q0"":1,""Q1"":3,""Q2"":0,""Q3"":0,""Q4"":1}"
"","null","audio-button-response","35","937795","0.0-4.0-0.1","013","sound/dream_Melody_27.mp3","null",""
"","10226","survey-likert","36","948023","0.0-4.0-1.1","013","","","{""Q0"":4,""Q1"":5,""Q2"":0,""Q3"":0,""Q4"":8}"
"","null","audio-button-response","37","976319","0.0-4.0-0.2","013","sound/iWishYouLove_Lyrics_12.mp3","null",""
"","10393","survey-likert","38","986714","0.0-4.0-1.2","013","","","{""Q0"":2,""Q1"":6,""Q2"":6,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","39","1017981","0.0-4.0-0.3","013","sound/theCrucifixion_Melody_21.mp3","null",""
"","7094","survey-likert","40","1025077","0.0-4.0-1.3","013","","","{""Q0"":0,""Q1"":6,""Q2"":6,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","41","1063811","0.0-4.0-0.4","013","sound/thatsAll_Lyrics_15.mp3","null",""
"","9379","survey-likert","42","1073193","0.0-4.0-1.4","013","","","{""Q0"":4,""Q1"":0,""Q2"":0,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","43","1107446","0.0-4.0-0.5","013","sound/willowSong_Lyrics_06.mp3","null",""
"","7492","survey-likert","44","1114941","0.0-4.0-1.5","013","","","{""Q0"":0,""Q1"":5,""Q2"":5,""Q3"":0,""Q4"":0}"
