"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus","button_pressed","responses"
"[{""page_index"":0,""viewing_time"":21426},{""page_index"":1,""viewing_time"":4255}]","25682","instructions","0","25690","0.0-0.0","010","","",""
"","53466","audio-button-response","1","79165","0.0-1.0","010","sound/soundcheck.mp3","0",""
"[{""page_index"":0,""viewing_time"":7160}]","7160","instructions","2","86328","0.0-2.0","010","","",""
"","null","audio-button-response","3","120530","0.0-3.0-0.0","010","sound/goognightMoon_Lyrics_09.mp3","null",""
"","15527","survey-likert","4","136060","0.0-3.0-1.0","010","","","{""Q0"":7,""Q1"":8,""Q2"":0,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","5","171807","0.0-3.0-0.1","010","sound/toThisWeveCome_Lyrics_13.mp3","null",""
"","23875","survey-likert","6","195688","0.0-3.0-1.1","010","","","{""Q0"":0,""Q1"":3,""Q2"":7,""Q3"":4,""Q4"":0}"
"","null","audio-button-response","7","232917","0.0-3.0-0.2","010","sound/dream_Lyrics_11.mp3","null",""
"","11224","survey-likert","8","244145","0.0-3.0-1.2","010","","","{""Q0"":4,""Q1"":5,""Q2"":3,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","9","278633","0.0-3.0-0.3","010","sound/theCage_Melody_30.mp3","null",""
"","17185","survey-likert","10","295820","0.0-3.0-1.3","010","","","{""Q0"":0,""Q1"":3,""Q2"":3,""Q3"":3,""Q4"":0}"
"","null","audio-button-response","11","333056","0.0-3.0-0.4","010","sound/bambi_Melody_24.mp3","null",""
"","17261","survey-likert","12","350323","0.0-3.0-1.4","010","","","{""Q0"":6,""Q1"":5,""Q2"":1,""Q3"":1,""Q4"":0}"
"","null","audio-button-response","13","384578","0.0-3.0-0.5","010","sound/everyTimeWeSayGoodbye_Lyrics_07.mp3","null",""
"","15684","survey-likert","14","400264","0.0-3.0-1.5","010","","","{""Q0"":1,""Q1"":4,""Q2"":8,""Q3"":4,""Q4"":0}"
"","null","audio-button-response","15","437501","0.0-3.0-0.6","010","sound/silentMoon_Melody_26.mp3","null",""
"","7821","survey-likert","16","445326","0.0-3.0-1.6","010","","","{""Q0"":3,""Q1"":4,""Q2"":3,""Q3"":4,""Q4"":0}"
"","null","audio-button-response","17","482556","0.0-3.0-0.7","010","sound/takeYouAb_Melody_20.mp3","null",""
"","8722","survey-likert","18","491282","0.0-3.0-1.7","010","","","{""Q0"":5,""Q1"":5,""Q2"":3,""Q3"":4,""Q4"":0}"
"","null","audio-button-response","19","522800","0.0-3.0-0.8","010","sound/noMoreMissNice_Melody_32.mp3","null",""
"","12255","survey-likert","20","535058","0.0-3.0-1.8","010","","","{""Q0"":4,""Q1"":4,""Q2"":4,""Q3"":4,""Q4"":6}"
"","null","audio-button-response","21","569566","0.0-3.0-0.9","010","sound/willowSong_Melody_22.mp3","null",""
"","7772","survey-likert","22","577343","0.0-3.0-1.9","010","","","{""Q0"":4,""Q1"":4,""Q2"":4,""Q3"":4,""Q4"":0}"
"","null","audio-button-response","23","605638","0.0-3.0-0.10","010","sound/iWishYouLove_Melody_28.mp3","null",""
"","12618","survey-likert","24","618259","0.0-3.0-1.10","010","","","{""Q0"":0,""Q1"":2,""Q2"":1,""Q3"":4,""Q4"":6}"
"","null","audio-button-response","25","649529","0.0-3.0-0.11","010","sound/onMusic_Lyrics_01.mp3","null",""
"","19580","survey-likert","26","669111","0.0-3.0-1.11","010","","","{""Q0"":6,""Q1"":8,""Q2"":0,""Q3"":0,""Q4"":2}"
"","null","audio-button-response","27","701874","0.0-3.0-0.12","010","sound/owlAPussyCat_Melody_18.mp3","null",""
"","11979","survey-likert","28","713856","0.0-3.0-1.12","010","","","{""Q0"":4,""Q1"":1,""Q2"":1,""Q3"":8,""Q4"":0}"
"","null","audio-button-response","29","745126","0.0-3.0-0.13","010","sound/theCrucifixion_Lyrics_05.mp3","null",""
"","10315","survey-likert","30","755442","0.0-3.0-1.13","010","","","{""Q0"":0,""Q1"":3,""Q2"":8,""Q3"":4,""Q4"":0}"
"","null","audio-button-response","31","791182","0.0-3.0-0.14","010","sound/dancinInTheMoonlightC_Lyrics_03.mp3","null",""
"","8674","survey-likert","32","799860","0.0-3.0-1.14","010","","","{""Q0"":8,""Q1"":8,""Q2"":0,""Q3"":0,""Q4"":2}"
"","null","audio-button-response","33","838599","0.0-4.0-0.0","010","sound/thatsAll_Melody_31.mp3","null",""
"","17479","survey-likert","34","856081","0.0-4.0-1.0","010","","","{""Q0"":4,""Q1"":3,""Q2"":0,""Q3"":2,""Q4"":6}"
"","null","audio-button-response","35","893314","0.0-4.0-0.1","010","sound/silentMoon_Lyrics_10.mp3","null",""
"","9150","survey-likert","36","902469","0.0-4.0-1.1","010","","","{""Q0"":5,""Q1"":5,""Q2"":5,""Q3"":3,""Q4"":0}"
"","null","audio-button-response","37","938209","0.0-4.0-0.2","010","sound/toThisWeveCome_Melody_29.mp3","null",""
"","10391","survey-likert","38","948605","0.0-4.0-1.2","010","","","{""Q0"":4,""Q1"":2,""Q2"":5,""Q3"":8,""Q4"":0}"
"","null","audio-button-response","39","979884","0.0-4.0-0.3","010","sound/theCrucifixion_Melody_21.mp3","null",""
"","8866","survey-likert","40","988752","0.0-4.0-1.3","010","","","{""Q0"":0,""Q1"":4,""Q2"":8,""Q3"":4,""Q4"":0}"
"","null","audio-button-response","41","1023195","0.0-4.0-0.4","010","sound/theCage_Lyrics_14.mp3","null",""
"","9253","survey-likert","42","1032450","0.0-4.0-1.4","010","","","{""Q0"":3,""Q1"":3,""Q2"":3,""Q3"":3,""Q4"":0}"
"","null","audio-button-response","43","1066699","0.0-4.0-0.5","010","sound/everyTimeWeSayGoodbye_Melody_23.mp3","null",""
"","9706","survey-likert","44","1076408","0.0-4.0-1.5","010","","","{""Q0"":1,""Q1"":4,""Q2"":7,""Q3"":1,""Q4"":0}"
"","null","audio-button-response","45","1110662","0.0-4.0-0.6","010","sound/goognightMoon_Melody_25.mp3","null",""
"","9935","survey-likert","46","1120601","0.0-4.0-1.6","010","","","{""Q0"":1,""Q1"":4,""Q2"":8,""Q3"":4,""Q4"":0}"
"","null","audio-button-response","47","1148895","0.0-4.0-0.7","010","sound/iWishYouLove_Lyrics_12.mp3","null",""
"","8132","survey-likert","48","1157027","0.0-4.0-1.7","010","","","{""Q0"":5,""Q1"":5,""Q2"":3,""Q3"":4,""Q4"":0}"
"","null","audio-button-response","49","1188302","0.0-4.0-0.8","010","sound/onMusic_Melody_17.mp3","null",""
"","10487","survey-likert","50","1198794","0.0-4.0-1.8","010","","","{""Q0"":3,""Q1"":5,""Q2"":7,""Q3"":3,""Q4"":0}"
"","null","audio-button-response","51","1236025","0.0-4.0-0.9","010","sound/takeYouAb_Lyrics_04.mp3","null",""
"","8229","survey-likert","52","1244259","0.0-4.0-1.9","010","","","{""Q0"":7,""Q1"":7,""Q2"":1,""Q3"":2,""Q4"":0}"
"","null","audio-button-response","53","1278510","0.0-4.0-0.10","010","sound/willowSong_Lyrics_06.mp3","null",""
"","10170","survey-likert","54","1288684","0.0-4.0-1.10","010","","","{""Q0"":3,""Q1"":4,""Q2"":3,""Q3"":3,""Q4"":0}"
