"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus","button_pressed","responses"
"[{""page_index"":0,""viewing_time"":39075},{""page_index"":1,""viewing_time"":45097}]","84174","instructions","0","84192","0.0-0.0","007","","",""
"","18749","audio-button-response","1","102945","0.0-1.0","007","sound/soundcheck.mp3","0",""
"[{""page_index"":0,""viewing_time"":14704}]","14704","instructions","2","117655","0.0-2.0","007","","",""
"","null","audio-button-response","3","150422","0.0-3.0-0.0","007","sound/owlAPussyCat_Melody_18.mp3","null",""
"","12439","survey-likert","4","162867","0.0-3.0-1.0","007","","","{""Q0"":1,""Q1"":0,""Q2"":4,""Q3"":6,""Q4"":0}"
"","null","audio-button-response","5","197302","0.0-3.0-0.1","007","sound/theCage_Melody_30.mp3","null",""
"","16798","survey-likert","6","214103","0.0-3.0-1.1","007","","","{""Q0"":4,""Q1"":3,""Q2"":5,""Q3"":6,""Q4"":8}"
"","null","audio-button-response","7","251379","0.0-3.0-0.2","007","sound/dream_Lyrics_11.mp3","null",""
"","17132","survey-likert","8","268513","0.0-3.0-1.2","007","","","{""Q0"":6,""Q1"":3,""Q2"":2,""Q3"":4,""Q4"":0}"
"","null","audio-button-response","9","299786","0.0-3.0-0.3","007","sound/theCrucifixion_Lyrics_05.mp3","null",""
"","11670","survey-likert","10","311459","0.0-3.0-1.3","007","","","{""Q0"":1,""Q1"":4,""Q2"":7,""Q3"":5,""Q4"":0}"
"","null","audio-button-response","11","345660","0.0-3.0-0.4","007","sound/goognightMoon_Lyrics_09.mp3","null",""
"","12119","survey-likert","12","357781","0.0-3.0-1.4","007","","","{""Q0"":5,""Q1"":6,""Q2"":4,""Q3"":4,""Q4"":0}"
"","null","audio-button-response","13","389055","0.0-3.0-0.5","007","sound/onMusic_Lyrics_01.mp3","null",""
"","8951","survey-likert","14","398009","0.0-3.0-1.5","007","","","{""Q0"":6,""Q1"":6,""Q2"":5,""Q3"":2,""Q4"":2}"
"","null","audio-button-response","15","435249","0.0-3.0-0.6","007","sound/takeYouAb_Melody_20.mp3","null",""
"","21460","survey-likert","16","456713","0.0-3.0-1.6","007","","","{""Q0"":6,""Q1"":3,""Q2"":4,""Q3"":3,""Q4"":1}"
"","null","audio-button-response","17","491012","0.0-3.0-0.7","007","sound/everyTimeWeSayGoodbye_Lyrics_07.mp3","null",""
"","13068","survey-likert","18","504083","0.0-3.0-1.7","007","","","{""Q0"":3,""Q1"":5,""Q2"":7,""Q3"":4,""Q4"":2}"
"","null","audio-button-response","19","541317","0.0-3.0-0.8","007","sound/bambi_Melody_24.mp3","null",""
"","13731","survey-likert","20","555051","0.0-3.0-1.8","007","","","{""Q0"":7,""Q1"":2,""Q2"":5,""Q3"":1,""Q4"":4}"
"","null","audio-button-response","21","592289","0.0-3.0-0.9","007","sound/silentMoon_Melody_26.mp3","null",""
"","10952","survey-likert","22","603244","0.0-3.0-1.9","007","","","{""Q0"":7,""Q1"":3,""Q2"":5,""Q3"":4,""Q4"":2}"
"","null","audio-button-response","23","638992","0.0-3.0-0.10","007","sound/dancinInTheMoonlightC_Lyrics_03.mp3","null",""
"","14813","survey-likert","24","653809","0.0-3.0-1.10","007","","","{""Q0"":8,""Q1"":4,""Q2"":0,""Q3"":1,""Q4"":8}"
"","null","audio-button-response","25","685326","0.0-3.0-0.11","007","sound/noMoreMissNice_Melody_32.mp3","null",""
"","13535","survey-likert","26","698866","0.0-3.0-1.11","007","","","{""Q0"":6,""Q1"":3,""Q2"":5,""Q3"":3,""Q4"":1}"
"","null","audio-button-response","27","733330","0.0-3.0-0.12","007","sound/willowSong_Melody_22.mp3","null",""
"","11211","survey-likert","28","744545","0.0-3.0-1.12","007","","","{""Q0"":6,""Q1"":5,""Q2"":2,""Q3"":4,""Q4"":0}"
"","null","audio-button-response","29","780325","0.0-3.0-0.13","007","sound/toThisWeveCome_Lyrics_13.mp3","null",""
"","12322","survey-likert","30","792650","0.0-3.0-1.13","007","","","{""Q0"":0,""Q1"":0,""Q2"":6,""Q3"":8,""Q4"":6}"
"","null","audio-button-response","31","820944","0.0-3.0-0.14","007","sound/iWishYouLove_Melody_28.mp3","null",""
"","12259","survey-likert","32","833205","0.0-3.0-1.14","007","","","{""Q0"":5,""Q1"":4,""Q2"":5,""Q3"":2,""Q4"":1}"
"","null","audio-button-response","33","867408","0.0-4.0-0.0","007","sound/goognightMoon_Melody_25.mp3","null",""
"","11813","survey-likert","34","879222","0.0-4.0-1.0","007","","","{""Q0"":6,""Q1"":5,""Q2"":5,""Q3"":2,""Q4"":2}"
"","null","audio-button-response","35","917915","0.0-4.0-0.1","007","sound/thatsAll_Melody_31.mp3","null",""
"","10768","survey-likert","36","928688","0.0-4.0-1.1","007","","","{""Q0"":0,""Q1"":0,""Q2"":6,""Q3"":8,""Q4"":8}"
"","null","audio-button-response","37","965917","0.0-4.0-0.2","007","sound/bambi_Lyrics_08.mp3","null",""
"","7920","survey-likert","38","973841","0.0-4.0-1.2","007","","","{""Q0"":2,""Q1"":2,""Q2"":6,""Q3"":5,""Q4"":6}"
"","null","audio-button-response","39","1002131","0.0-4.0-0.3","007","sound/iWishYouLove_Lyrics_12.mp3","null",""
"","9759","survey-likert","40","1011892","0.0-4.0-1.3","007","","","{""Q0"":6,""Q1"":5,""Q2"":5,""Q3"":1,""Q4"":2}"
"","null","audio-button-response","41","1047637","0.0-4.0-0.4","007","sound/toThisWeveCome_Melody_29.mp3","null",""
"","10436","survey-likert","42","1058119","0.0-4.0-1.4","007","","","{""Q0"":0,""Q1"":0,""Q2"":6,""Q3"":8,""Q4"":6}"
"","null","audio-button-response","43","1095347","0.0-4.0-0.5","007","sound/dream_Melody_27.mp3","null",""
"","14463","survey-likert","44","1109814","0.0-4.0-1.5","007","","","{""Q0"":5,""Q1"":5,""Q2"":6,""Q3"":2,""Q4"":2}"
"","null","audio-button-response","45","1144069","0.0-4.0-0.6","007","sound/everyTimeWeSayGoodbye_Melody_23.mp3","null",""
"","10091","survey-likert","46","1154163","0.0-4.0-1.6","007","","","{""Q0"":3,""Q1"":2,""Q2"":7,""Q3"":5,""Q4"":2}"
"","null","audio-button-response","47","1185433","0.0-4.0-0.7","007","sound/theCrucifixion_Melody_21.mp3","null",""
"","16256","survey-likert","48","1201691","0.0-4.0-1.7","007","","","{""Q0"":1,""Q1"":2,""Q2"":7,""Q3"":5,""Q4"":2}"
"","null","audio-button-response","49","1232965","0.0-4.0-0.8","007","sound/onMusic_Melody_17.mp3","null",""
"","10948","survey-likert","50","1243916","0.0-4.0-1.8","007","","","{""Q0"":5,""Q1"":3,""Q2"":5,""Q3"":4,""Q4"":2}"
"","null","audio-button-response","51","1282612","0.0-4.0-0.9","007","sound/thatsAll_Lyrics_15.mp3","null",""
"","8389","survey-likert","52","1291004","0.0-4.0-1.9","007","","","{""Q0"":0,""Q1"":0,""Q2"":6,""Q3"":8,""Q4"":8}"
"","null","audio-button-response","53","1325491","0.0-4.0-0.10","007","sound/theCage_Lyrics_14.mp3","null",""
"","11290","survey-likert","54","1336785","0.0-4.0-1.10","007","","","{""Q0"":2,""Q1"":4,""Q2"":7,""Q3"":5,""Q4"":8}"
"","null","audio-button-response","55","1368296","0.0-4.0-0.11","007","sound/noMoreMissNice_Lyrics_16.mp3","null",""
"","11118","survey-likert","56","1379419","0.0-4.0-1.11","007","","","{""Q0"":5,""Q1"":2,""Q2"":6,""Q3"":6,""Q4"":2}"
"","null","audio-button-response","57","1412180","0.0-4.0-0.12","007","sound/owlAPussyCat_Lyrics_02.mp3","null",""
"","11397","survey-likert","58","1423582","0.0-4.0-1.12","007","","","{""Q0"":2,""Q1"":1,""Q2"":4,""Q3"":5,""Q4"":2}"
"","null","audio-button-response","59","1460811","0.0-4.0-0.13","007","sound/takeYouAb_Lyrics_04.mp3","null",""
"","9689","survey-likert","60","1470503","0.0-4.0-1.13","007","","","{""Q0"":6,""Q1"":3,""Q2"":4,""Q3"":1,""Q4"":2}"
"","null","audio-button-response","61","1506246","0.0-4.0-0.14","007","sound/dancinInTheMoonlightC_Melody_19.mp3","null",""
"","13550","survey-likert","62","1519800","0.0-4.0-1.14","007","","","{""Q0"":7,""Q1"":8,""Q2"":2,""Q3"":0,""Q4"":8}"
"","null","audio-button-response","63","1554052","0.0-4.0-0.15","007","sound/willowSong_Lyrics_06.mp3","null",""
"","12316","survey-likert","64","1566414","0.0-4.0-1.15","007","","","{""Q0"":4,""Q1"":2,""Q2"":7,""Q3"":5,""Q4"":2}"
"","null","audio-button-response","65","1603644","0.0-4.0-0.16","007","sound/silentMoon_Lyrics_10.mp3","null",""
"","18262","survey-likert","66","1621907","0.0-4.0-1.16","007","","","{""Q0"":6,""Q1"":5,""Q2"":5,""Q3"":1,""Q4"":2}"
"","3329","survey-text","67","1625240","0.0-5.0","007","","","{""Q0"":""Yes""}"
"","2093","survey-text","68","1627334","0.0-6.0","007","","","{""Q0"":""Yes""}"
"","2519","survey-text","69","1629854","0.0-7.0","007","","","{""Q0"":""No""}"
