"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus","button_pressed","responses"
"[{""page_index"":0,""viewing_time"":1870},{""page_index"":1,""viewing_time"":4726}]","6598","instructions","0","6606","0.0-0.0","020","","",""
"","3467","audio-button-response","1","10077","0.0-1.0","020","sound/soundcheck.mp3","0",""
"[{""page_index"":0,""viewing_time"":11361}]","11361","instructions","2","21441","0.0-2.0","020","","",""
"","null","audio-button-response","3","52966","0.0-3.0-0.0","020","sound/noMoreMissNice_Melody_32.mp3","null",""
"","19670","survey-likert","4","72643","0.0-3.0-1.0","020","","","{""Q0"":6,""Q1"":4,""Q2"":1,""Q3"":1,""Q4"":1}"
"","null","audio-button-response","5","103917","0.0-3.0-0.1","020","sound/onMusic_Lyrics_01.mp3","null",""
"","14925","survey-likert","6","118846","0.0-3.0-1.1","020","","","{""Q0"":6,""Q1"":4,""Q2"":0,""Q3"":0,""Q4"":7}"
"","null","audio-button-response","7","156079","0.0-3.0-0.2","020","sound/dream_Lyrics_11.mp3","null",""
"","31120","survey-likert","8","187202","0.0-3.0-1.2","020","","","{""Q0"":5,""Q1"":4,""Q2"":5,""Q3"":0,""Q4"":8}"
"","null","audio-button-response","9","224438","0.0-3.0-0.3","020","sound/takeYouAb_Melody_20.mp3","null",""
"","27827","survey-likert","10","252318","0.0-3.0-1.3","020","","","{""Q0"":6,""Q1"":6,""Q2"":0,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","11","289551","0.0-3.0-0.4","020","sound/silentMoon_Melody_26.mp3","null",""
"","13373","survey-likert","12","302928","0.0-3.0-1.4","020","","","{""Q0"":4,""Q1"":8,""Q2"":4,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","13","334205","0.0-3.0-0.5","020","sound/theCrucifixion_Lyrics_05.mp3","null",""
"","27693","survey-likert","14","361903","0.0-3.0-1.5","020","","","{""Q0"":3,""Q1"":8,""Q2"":4,""Q3"":0,""Q4"":3}"
"","null","audio-button-response","15","394666","0.0-3.0-0.6","020","sound/owlAPussyCat_Melody_18.mp3","null",""
"","15826","survey-likert","16","410496","0.0-3.0-1.6","020","","","{""Q0"":2,""Q1"":1,""Q2"":4,""Q3"":1,""Q4"":0}"
"","null","audio-button-response","17","444929","0.0-3.0-0.7","020","sound/theCage_Melody_30.mp3","null",""
"","32618","survey-likert","18","477591","0.0-3.0-1.7","020","","","{""Q0"":3,""Q1"":3,""Q2"":5,""Q3"":5,""Q4"":0}"
"","null","audio-button-response","19","511793","0.0-3.0-0.8","020","sound/goognightMoon_Lyrics_09.mp3","null",""
"","15667","survey-likert","20","527463","0.0-3.0-1.8","020","","","{""Q0"":5,""Q1"":6,""Q2"":5,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","21","564694","0.0-3.0-0.9","020","sound/bambi_Melody_24.mp3","null",""
"","14083","survey-likert","22","578783","0.0-3.0-1.9","020","","","{""Q0"":7,""Q1"":1,""Q2"":6,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","23","613248","0.0-3.0-0.10","020","sound/willowSong_Melody_22.mp3","null",""
"","10210","survey-likert","24","623461","0.0-3.0-1.10","020","","","{""Q0"":4,""Q1"":8,""Q2"":0,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","25","657711","0.0-3.0-0.11","020","sound/everyTimeWeSayGoodbye_Lyrics_07.mp3","null",""
"","19975","survey-likert","26","677689","0.0-3.0-1.11","020","","","{""Q0"":6,""Q1"":4,""Q2"":5,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","27","713475","0.0-3.0-0.12","020","sound/dancinInTheMoonlightC_Lyrics_03.mp3","null",""
"","20013","survey-likert","28","733491","0.0-3.0-1.12","020","","","{""Q0"":8,""Q1"":4,""Q2"":0,""Q3"":1,""Q4"":0}"
"","null","audio-button-response","29","761790","0.0-3.0-0.13","020","sound/iWishYouLove_Melody_28.mp3","null",""
"","12508","survey-likert","30","774301","0.0-3.0-1.13","020","","","{""Q0"":4,""Q1"":8,""Q2"":6,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","31","810043","0.0-3.0-0.14","020","sound/toThisWeveCome_Lyrics_13.mp3","null",""
"","16312","survey-likert","32","826359","0.0-3.0-1.14","020","","","{""Q0"":5,""Q1"":0,""Q2"":4,""Q3"":7,""Q4"":0}"
"","null","audio-button-response","33","863594","0.0-4.0-0.0","020","sound/bambi_Lyrics_08.mp3","null",""
"","28054","survey-likert","34","891653","0.0-4.0-1.0","020","","","{""Q0"":6,""Q1"":3,""Q2"":5,""Q3"":3,""Q4"":0}"
"","null","audio-button-response","35","925855","0.0-4.0-0.1","020","sound/goognightMoon_Melody_25.mp3","null",""
"","10610","survey-likert","36","936470","0.0-4.0-1.1","020","","","{""Q0"":4,""Q1"":5,""Q2"":4,""Q3"":4,""Q4"":0}"
"","null","audio-button-response","37","968027","0.0-4.0-0.2","020","sound/noMoreMissNice_Lyrics_16.mp3","null",""
"","12511","survey-likert","38","980540","0.0-4.0-1.2","020","","","{""Q0"":6,""Q1"":1,""Q2"":4,""Q3"":5,""Q4"":0}"
"","null","audio-button-response","39","1019230","0.0-4.0-0.3","020","sound/thatsAll_Melody_31.mp3","null",""
"","15420","survey-likert","40","1034652","0.0-4.0-1.3","020","","","{""Q0"":6,""Q1"":3,""Q2"":4,""Q3"":5,""Q4"":0}"
"","null","audio-button-response","41","1068902","0.0-4.0-0.4","020","sound/everyTimeWeSayGoodbye_Melody_23.mp3","null",""
"","15859","survey-likert","42","1084765","0.0-4.0-1.4","020","","","{""Q0"":3,""Q1"":5,""Q2"":6,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","43","1116035","0.0-4.0-0.5","020","sound/onMusic_Melody_17.mp3","null",""
"","9168","survey-likert","44","1125207","0.0-4.0-1.5","020","","","{""Q0"":5,""Q1"":3,""Q2"":4,""Q3"":5,""Q4"":0}"
"","null","audio-button-response","45","1159648","0.0-4.0-0.6","020","sound/theCage_Lyrics_14.mp3","null",""
"","19951","survey-likert","46","1179603","0.0-4.0-1.6","020","","","{""Q0"":0,""Q1"":2,""Q2"":4,""Q3"":8,""Q4"":0}"
"","null","audio-button-response","47","1215349","0.0-4.0-0.7","020","sound/dancinInTheMoonlightC_Melody_19.mp3","null",""
"","14561","survey-likert","48","1229960","0.0-4.0-1.7","020","","","{""Q0"":3,""Q1"":2,""Q2"":4,""Q3"":5,""Q4"":0}"
"","null","audio-button-response","49","1258253","0.0-4.0-0.8","020","sound/iWishYouLove_Lyrics_12.mp3","null",""
"","12698","survey-likert","50","1270954","0.0-4.0-1.8","020","","","{""Q0"":3,""Q1"":4,""Q2"":5,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","51","1303717","0.0-4.0-0.9","020","sound/owlAPussyCat_Lyrics_02.mp3","null",""
"","12810","survey-likert","52","1316530","0.0-4.0-1.9","020","","","{""Q0"":2,""Q1"":0,""Q2"":4,""Q3"":7,""Q4"":0}"
"","null","audio-button-response","53","1347799","0.0-4.0-0.10","020","sound/theCrucifixion_Melody_21.mp3","null",""
"","9307","survey-likert","54","1357108","0.0-4.0-1.10","020","","","{""Q0"":4,""Q1"":7,""Q2"":6,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","55","1394343","0.0-4.0-0.11","020","sound/takeYouAb_Lyrics_04.mp3","null",""
"","14754","survey-likert","56","1409100","0.0-4.0-1.11","020","","","{""Q0"":5,""Q1"":1,""Q2"":3,""Q3"":5,""Q4"":0}"
"","null","audio-button-response","57","1444845","0.0-4.0-0.12","020","sound/toThisWeveCome_Melody_29.mp3","null",""
"","11267","survey-likert","58","1456117","0.0-4.0-1.12","020","","","{""Q0"":2,""Q1"":0,""Q2"":4,""Q3"":6,""Q4"":0}"
"","null","audio-button-response","59","1493393","0.0-4.0-0.13","020","sound/dream_Melody_27.mp3","null",""
"","31517","survey-likert","60","1524913","0.0-4.0-1.13","020","","","{""Q0"":6,""Q1"":4,""Q2"":5,""Q3"":0,""Q4"":8}"
"","null","audio-button-response","61","1562147","0.0-4.0-0.14","020","sound/silentMoon_Lyrics_10.mp3","null",""
"","17043","survey-likert","62","1579193","0.0-4.0-1.14","020","","","{""Q0"":4,""Q1"":5,""Q2"":4,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","63","1617888","0.0-4.0-0.15","020","sound/thatsAll_Lyrics_15.mp3","null",""
"","18575","survey-likert","64","1636466","0.0-4.0-1.15","020","","","{""Q0"":5,""Q1"":3,""Q2"":4,""Q3"":6,""Q4"":2}"
"","null","audio-button-response","65","1670721","0.0-4.0-0.16","020","sound/willowSong_Lyrics_06.mp3","null",""
"","15245","survey-likert","66","1685971","0.0-4.0-1.16","020","","","{""Q0"":5,""Q1"":5,""Q2"":4,""Q3"":5,""Q4"":0}"
"","7514","survey-text","67","1693488","0.0-5.0","020","","","{""Q0"":""Yes""}"
"","8932","survey-text","68","1702422","0.0-6.0","020","","","{""Q0"":""Yes""}"
"","6660","survey-text","69","1709118","0.0-7.0","020","","","{""Q0"":""No""}"
