"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus","button_pressed","responses"
"[{""page_index"":0,""viewing_time"":22880},{""page_index"":1,""viewing_time"":10948}]","33830","instructions","0","33864","0.0-0.0","019","","",""
"","3999","audio-button-response","1","37880","0.0-1.0","019","sound/soundcheck.mp3","0",""
"[{""page_index"":0,""viewing_time"":2241}]","2241","instructions","2","40123","0.0-2.0","019","","",""
"","null","audio-button-response","3","74557","0.0-3.0-0.0","019","sound/willowSong_Melody_22.mp3","null",""
"","24749","survey-likert","4","99323","0.0-3.0-1.0","019","","","{""Q0"":5,""Q1"":3,""Q2"":4,""Q3"":5,""Q4"":0}"
"","null","audio-button-response","5","136521","0.0-3.0-0.1","019","sound/dream_Lyrics_11.mp3","null",""
"","15415","survey-likert","6","151940","0.0-3.0-1.1","019","","","{""Q0"":4,""Q1"":3,""Q2"":4,""Q3"":5,""Q4"":0}"
"","null","audio-button-response","7","184681","0.0-3.0-0.2","019","sound/owlAPussyCat_Melody_18.mp3","null",""
"","16500","survey-likert","8","201183","0.0-3.0-1.2","019","","","{""Q0"":5,""Q1"":3,""Q2"":4,""Q3"":5,""Q4"":0}"
"","null","audio-button-response","9","236907","0.0-3.0-0.3","019","sound/toThisWeveCome_Lyrics_13.mp3","null",""
"","17148","survey-likert","10","254061","0.0-3.0-1.3","019","","","{""Q0"":4,""Q1"":2,""Q2"":4,""Q3"":5,""Q4"":0}"
"","null","audio-button-response","11","285547","0.0-3.0-0.4","019","sound/noMoreMissNice_Melody_32.mp3","null",""
"","15654","survey-likert","12","301205","0.0-3.0-1.4","019","","","{""Q0"":5,""Q1"":4,""Q2"":5,""Q3"":5,""Q4"":0}"
"","null","audio-button-response","13","338396","0.0-3.0-0.5","019","sound/bambi_Melody_24.mp3","null",""
"","14969","survey-likert","14","353379","0.0-3.0-1.5","019","","","{""Q0"":5,""Q1"":2,""Q2"":5,""Q3"":4,""Q4"":0}"
"","null","audio-button-response","15","387613","0.0-3.0-0.6","019","sound/everyTimeWeSayGoodbye_Lyrics_07.mp3","null",""
"","26334","survey-likert","16","413951","0.0-3.0-1.6","019","","","{""Q0"":4,""Q1"":3,""Q2"":4,""Q3"":5,""Q4"":0}"
"","null","audio-button-response","17","451146","0.0-3.0-0.7","019","sound/takeYouAb_Melody_20.mp3","null",""
"","19536","survey-likert","18","470686","0.0-3.0-1.7","019","","","{""Q0"":5,""Q1"":3,""Q2"":5,""Q3"":5,""Q4"":0}"
"","null","audio-button-response","19","507884","0.0-3.0-0.8","019","sound/silentMoon_Melody_26.mp3","null",""
