subject,Happy,Calm,Sad,AngryStressful,Familiar,title,Condition,Track_ID,ACTIVE,PERCEPTUAL,MUSICAL,SINGING,EMOTIONS,GENERAL
6,9,2,1,1,1,onMusic,Lyrics,1,31,54,12,34,35,70
6,4,2,5,1,1,theCage,Melody,30,31,54,12,34,35,70
6,1,1,2,7,1,noMoreMissNice,Melody,32,31,54,12,34,35,70
6,2,1,4,1,1,dream,Melody,27,31,54,12,34,35,70
6,1,1,9,9,1,thatsAll,Lyrics,15,31,54,12,34,35,70
6,1,4,9,1,1,theCrucifixion,Melody,21,31,54,12,34,35,70
6,9,5,1,1,1,iWishYouLove,Lyrics,12,31,54,12,34,35,70
6,7,2,2,1,1,silentMoon,Lyrics,10,31,54,12,34,35,70
6,1,1,7,6,1,bambi,Lyrics,8,31,54,12,34,35,70
6,1,2,2,1,1,onMusic,Melody,17,31,54,12,34,35,70
6,1,1,4,6,1,thatsAll,Melody,31,31,54,12,34,35,70
6,2,2,3,1,1,goognightMoon,Melody,25,31,54,12,34,35,70
6,1,1,5,9,1,noMoreMissNice,Lyrics,16,31,54,12,34,35,70
6,2,2,2,1,1,everyTimeWeSayGoodbye,Melody,23,31,54,12,34,35,70
6,2,1,2,1,1,dancinInTheMoonlightC,Melody,19,31,54,12,34,35,70
6,2,2,2,1,1,theCage,Lyrics,14,31,54,12,34,35,70
6,1,1,2,1,1,owlAPussyCat,Lyrics,2,31,54,12,34,35,70
6,2,2,2,1,1,takeYouAb,Lyrics,4,31,54,12,34,35,70
6,3,2,2,1,1,toThisWeveCome,Melody,29,31,54,12,34,35,70
6,2,2,2,1,1,willowSong,Lyrics,6,31,54,12,34,35,70
7,2,1,5,7,1,owlAPussyCat,Melody,18,47,60,41,35,40,97
7,5,4,6,7,9,theCage,Melody,30,47,60,41,35,40,97
7,7,4,3,5,1,dream,Lyrics,11,47,60,41,35,40,97
7,2,5,8,6,1,theCrucifixion,Lyrics,5,47,60,41,35,40,97
7,6,7,5,5,1,goognightMoon,Lyrics,9,47,60,41,35,40,97
7,7,7,6,3,3,onMusic,Lyrics,1,47,60,41,35,40,97
7,7,4,5,4,2,takeYouAb,Melody,20,47,60,41,35,40,97
7,4,6,8,5,3,everyTimeWeSayGoodbye,Lyrics,7,47,60,41,35,40,97
7,8,3,6,2,5,bambi,Melody,24,47,60,41,35,40,97
7,8,4,6,5,3,silentMoon,Melody,26,47,60,41,35,40,97
7,9,5,1,2,9,dancinInTheMoonlightC,Lyrics,3,47,60,41,35,40,97
7,7,4,6,4,2,noMoreMissNice,Melody,32,47,60,41,35,40,97
7,7,6,3,5,1,willowSong,Melody,22,47,60,41,35,40,97
7,1,1,7,9,7,toThisWeveCome,Lyrics,13,47,60,41,35,40,97
7,6,5,6,3,2,iWishYouLove,Melody,28,47,60,41,35,40,97
7,7,6,6,3,3,goognightMoon,Melody,25,47,60,41,35,40,97
7,1,1,7,9,9,thatsAll,Melody,31,47,60,41,35,40,97
7,3,3,7,6,7,bambi,Lyrics,8,47,60,41,35,40,97
7,7,6,6,2,3,iWishYouLove,Lyrics,12,47,60,41,35,40,97
7,1,1,7,9,7,toThisWeveCome,Melody,29,47,60,41,35,40,97
7,6,6,7,3,3,dream,Melody,27,47,60,41,35,40,97
7,4,3,8,6,3,everyTimeWeSayGoodbye,Melody,23,47,60,41,35,40,97
7,2,3,8,6,3,theCrucifixion,Melody,21,47,60,41,35,40,97
7,6,4,6,5,3,onMusic,Melody,17,47,60,41,35,40,97
7,1,1,7,9,9,thatsAll,Lyrics,15,47,60,41,35,40,97
7,3,5,8,6,9,theCage,Lyrics,14,47,60,41,35,40,97
7,6,3,7,7,3,noMoreMissNice,Lyrics,16,47,60,41,35,40,97
7,3,2,5,6,3,owlAPussyCat,Lyrics,2,47,60,41,35,40,97
7,7,4,5,2,3,takeYouAb,Lyrics,4,47,60,41,35,40,97
