"","subject","rt","Happy","Calm","Sad","AngryStressful","Familiar","title","Condition","Track_ID"
"76",6,15894,9,2,2,1,1,"dream","Lyrics",11
"77",6,11484,9,2,1,1,1,"onMusic","Lyrics",1
"78",6,17088,4,2,5,1,1,"theCage","Melody",30
"79",6,33498,1,1,2,7,1,"noMoreMissNice","Melody",32
"80",6,13519,2,1,4,1,1,"dream","Melody",27
"81",6,11441,1,1,9,9,1,"thatsAll","Lyrics",15
"82",6,12777,1,4,9,1,1,"theCrucifixion","Melody",21
"83",6,11659,9,5,1,1,1,"iWishYouLove","Lyrics",12
"84",6,13997,7,2,2,1,1,"silentMoon","Lyrics",10
"85",6,20092,1,1,7,6,1,"bambi","Lyrics",8
"86",6,14406,1,2,2,1,1,"onMusic","Melody",17
"87",6,19765,1,1,4,6,1,"thatsAll","Melody",31
"88",6,22311,2,2,3,1,1,"goognightMoon","Melody",25
"89",6,26333,1,1,5,9,1,"noMoreMissNice","Lyrics",16
"90",6,17255,2,2,2,1,1,"everyTimeWeSayGoodbye","Melody",23
"91",6,48424,2,1,2,1,1,"dancinInTheMoonlightC","Melody",19
"92",6,32017,2,2,2,1,1,"theCage","Lyrics",14
"93",6,56937,1,1,2,1,1,"owlAPussyCat","Lyrics",2
"94",6,134095,2,2,2,1,1,"takeYouAb","Lyrics",4
"95",6,99598,3,2,2,1,1,"toThisWeveCome","Melody",29
"96",6,21544,2,2,2,1,1,"willowSong","Lyrics",6
"97",7,12439,2,1,5,7,1,"owlAPussyCat","Melody",18
"98",7,16798,5,4,6,7,9,"theCage","Melody",30
"99",7,17132,7,4,3,5,1,"dream","Lyrics",11
"100",7,11670,2,5,8,6,1,"theCrucifixion","Lyrics",5
"101",7,12119,6,7,5,5,1,"goognightMoon","Lyrics",9
"102",7,8951,7,7,6,3,3,"onMusic","Lyrics",1
"103",7,21460,7,4,5,4,2,"takeYouAb","Melody",20
"104",7,13068,4,6,8,5,3,"everyTimeWeSayGoodbye","Lyrics",7
"105",7,13731,8,3,6,2,5,"bambi","Melody",24
"106",7,10952,8,4,6,5,3,"silentMoon","Melody",26
"107",7,14813,9,5,1,2,9,"dancinInTheMoonlightC","Lyrics",3
"108",7,13535,7,4,6,4,2,"noMoreMissNice","Melody",32
"109",7,11211,7,6,3,5,1,"willowSong","Melody",22
"110",7,12322,1,1,7,9,7,"toThisWeveCome","Lyrics",13
"111",7,12259,6,5,6,3,2,"iWishYouLove","Melody",28
"112",7,11813,7,6,6,3,3,"goognightMoon","Melody",25
"113",7,10768,1,1,7,9,9,"thatsAll","Melody",31
"114",7,7920,3,3,7,6,7,"bambi","Lyrics",8
"115",7,9759,7,6,6,2,3,"iWishYouLove","Lyrics",12
"116",7,10436,1,1,7,9,7,"toThisWeveCome","Melody",29
"117",7,14463,6,6,7,3,3,"dream","Melody",27
"118",7,10091,4,3,8,6,3,"everyTimeWeSayGoodbye","Melody",23
"119",7,16256,2,3,8,6,3,"theCrucifixion","Melody",21
"120",7,10948,6,4,6,5,3,"onMusic","Melody",17
"121",7,8389,1,1,7,9,9,"thatsAll","Lyrics",15
"122",7,11290,3,5,8,6,9,"theCage","Lyrics",14
"123",7,11118,6,3,7,7,3,"noMoreMissNice","Lyrics",16
"124",7,11397,3,2,5,6,3,"owlAPussyCat","Lyrics",2
"125",7,9689,7,4,5,2,3,"takeYouAb","Lyrics",4
"126",7,13550,8,9,3,1,9,"dancinInTheMoonlightC","Melody",19
