subject,rt,Happy,Calm,Sad,AngryStressful,Familiar,title,Condition,Track_ID,X1,ACTIVE,PERCEPTUAL,MUSICAL,SINGING,EMOTIONS,GENERAL,classical,blues,country,dancElectronica,folk,rapHipHop,soulFunk,relgious,alternative,jazz,rock,pop,heavyMetal,SoundtracksThemeSongs,familyIncome,highestFather,highestMother,melodicTraning,melodicCourses,melodicPrivate,harmonicTraning,harmonicCourses,harmonicPrivate,sightsingTraning,sightsingCourses,sightsingPrivate,instrument,age,gender,meds,listMeds,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76
4,10667,5,5,5,5,1,owlAPussyCat,Lyrics,2,1,40,42,26,38,27,81,5,5,4,4,4,7,7,4,5,5,5,5,4,6,6,6,3,3,1,3,3,1,3,1,1,1,piano,19,male,1,NA,5,2,6,2,5,6,5,3,6,4,6,6,4,4,5,5,6,2,6,3,2,5,4,4,2,6,5,5,6,4,7,5,2,3,6,5,4,7
4,18378,6,5,5,5,8,thatsAll,Melody,31,1,40,42,26,38,27,81,5,5,4,4,4,7,7,4,5,5,5,5,4,6,6,6,3,3,1,3,3,1,3,1,1,1,piano,19,male,1,NA,5,2,6,2,5,6,5,3,6,4,6,6,4,4,5,5,6,2,6,3,2,5,4,4,2,6,5,5,6,4,7,5,2,3,6,5,4,7
4,9400,5,5,5,5,6,takeYouAb,Melody,20,1,40,42,26,38,27,81,5,5,4,4,4,7,7,4,5,5,5,5,4,6,6,6,3,3,1,3,3,1,3,1,1,1,piano,19,male,1,NA,5,2,6,2,5,6,5,3,6,4,6,6,4,4,5,5,6,2,6,3,2,5,4,4,2,6,5,5,6,4,7,5,2,3,6,5,4,7
4,13760,5,5,5,6,1,owlAPussyCat,Melody,18,1,40,42,26,38,27,81,5,5,4,4,4,7,7,4,5,5,5,5,4,6,6,6,3,3,1,3,3,1,3,1,1,1,piano,19,male,1,NA,5,2,6,2,5,6,5,3,6,4,6,6,4,4,5,5,6,2,6,3,2,5,4,4,2,6,5,5,6,4,7,5,2,3,6,5,4,7
4,13067,5,5,5,5,7,noMoreMissNice,Melody,32,1,40,42,26,38,27,81,5,5,4,4,4,7,7,4,5,5,5,5,4,6,6,6,3,3,1,3,3,1,3,1,1,1,piano,19,male,1,NA,5,2,6,2,5,6,5,3,6,4,6,6,4,4,5,5,6,2,6,3,2,5,4,4,2,6,5,5,6,4,7,5,2,3,6,5,4,7
4,10008,4,6,6,4,2,onMusic,Lyrics,1,1,40,42,26,38,27,81,5,5,4,4,4,7,7,4,5,5,5,5,4,6,6,6,3,3,1,3,3,1,3,1,1,1,piano,19,male,1,NA,5,2,6,2,5,6,5,3,6,4,6,6,4,4,5,5,6,2,6,3,2,5,4,4,2,6,5,5,6,4,7,5,2,3,6,5,4,7
4,12354,6,6,4,4,8,dancinInTheMoonlightC,Lyrics,3,1,40,42,26,38,27,81,5,5,4,4,4,7,7,4,5,5,5,5,4,6,6,6,3,3,1,3,3,1,3,1,1,1,piano,19,male,1,NA,5,2,6,2,5,6,5,3,6,4,6,6,4,4,5,5,6,2,6,3,2,5,4,4,2,6,5,5,6,4,7,5,2,3,6,5,4,7
4,11998,3,5,6,6,1,theCage,Melody,30,1,40,42,26,38,27,81,5,5,4,4,4,7,7,4,5,5,5,5,4,6,6,6,3,3,1,3,3,1,3,1,1,1,piano,19,male,1,NA,5,2,6,2,5,6,5,3,6,4,6,6,4,4,5,5,6,2,6,3,2,5,4,4,2,6,5,5,6,4,7,5,2,3,6,5,4,7
4,10237,5,6,6,4,6,goognightMoon,Lyrics,9,1,40,42,26,38,27,81,5,5,4,4,4,7,7,4,5,5,5,5,4,6,6,6,3,3,1,3,3,1,3,1,1,1,piano,19,male,1,NA,5,2,6,2,5,6,5,3,6,4,6,6,4,4,5,5,6,2,6,3,2,5,4,4,2,6,5,5,6,4,7,5,2,3,6,5,4,7
4,14014,4,5,6,3,6,dream,Lyrics,11,1,40,42,26,38,27,81,5,5,4,4,4,7,7,4,5,5,5,5,4,6,6,6,3,3,1,3,3,1,3,1,1,1,piano,19,male,1,NA,5,2,6,2,5,6,5,3,6,4,6,6,4,4,5,5,6,2,6,3,2,5,4,4,2,6,5,5,6,4,7,5,2,3,6,5,4,7
4,10447,3,3,7,7,7,toThisWeveCome,Lyrics,13,1,40,42,26,38,27,81,5,5,4,4,4,7,7,4,5,5,5,5,4,6,6,6,3,3,1,3,3,1,3,1,1,1,piano,19,male,1,NA,5,2,6,2,5,6,5,3,6,4,6,6,4,4,5,5,6,2,6,3,2,5,4,4,2,6,5,5,6,4,7,5,2,3,6,5,4,7
4,8763,5,7,7,1,1,everyTimeWeSayGoodbye,Lyrics,7,1,40,42,26,38,27,81,5,5,4,4,4,7,7,4,5,5,5,5,4,6,6,6,3,3,1,3,3,1,3,1,1,1,piano,19,male,1,NA,5,2,6,2,5,6,5,3,6,4,6,6,4,4,5,5,6,2,6,3,2,5,4,4,2,6,5,5,6,4,7,5,2,3,6,5,4,7
4,11993,5,9,7,1,2,iWishYouLove,Melody,28,1,40,42,26,38,27,81,5,5,4,4,4,7,7,4,5,5,5,5,4,6,6,6,3,3,1,3,3,1,3,1,1,1,piano,19,male,1,NA,5,2,6,2,5,6,5,3,6,4,6,6,4,4,5,5,6,2,6,3,2,5,4,4,2,6,5,5,6,4,7,5,2,3,6,5,4,7
4,12947,3,6,7,2,1,theCrucifixion,Lyrics,5,1,40,42,26,38,27,81,5,5,4,4,4,7,7,4,5,5,5,5,4,6,6,6,3,3,1,3,3,1,3,1,1,1,piano,19,male,1,NA,5,2,6,2,5,6,5,3,6,4,6,6,4,4,5,5,6,2,6,3,2,5,4,4,2,6,5,5,6,4,7,5,2,3,6,5,4,7
4,8858,7,6,3,3,8,bambi,Melody,24,1,40,42,26,38,27,81,5,5,4,4,4,7,7,4,5,5,5,5,4,6,6,6,3,3,1,3,3,1,3,1,1,1,piano,19,male,1,NA,5,2,6,2,5,6,5,3,6,4,6,6,4,4,5,5,6,2,6,3,2,5,4,4,2,6,5,5,6,4,7,5,2,3,6,5,4,7
4,19320,5,7,6,2,1,willowSong,Melody,22,1,40,42,26,38,27,81,5,5,4,4,4,7,7,4,5,5,5,5,4,6,6,6,3,3,1,3,3,1,3,1,1,1,piano,19,male,1,NA,5,2,6,2,5,6,5,3,6,4,6,6,4,4,5,5,6,2,6,3,2,5,4,4,2,6,5,5,6,4,7,5,2,3,6,5,4,7
4,7507,5,5,6,3,6,silentMoon,Melody,26,1,40,42,26,38,27,81,5,5,4,4,4,7,7,4,5,5,5,5,4,6,6,6,3,3,1,3,3,1,3,1,1,1,piano,19,male,1,NA,5,2,6,2,5,6,5,3,6,4,6,6,4,4,5,5,6,2,6,3,2,5,4,4,2,6,5,5,6,4,7,5,2,3,6,5,4,7
5,22414,5,9,5,1,1,iWishYouLove,Lyrics,12,2,39,33,28,31,21,75,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,4,1,1,1,1,1,1,1,1,1,piano,19,Female,1,NA,7,1,7,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,4,4,1,4,4,4,4,4
5,14146,9,9,1,1,1,theCrucifixion,Melody,21,2,39,33,28,31,21,75,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,4,1,1,1,1,1,1,1,1,1,piano,19,Female,1,NA,7,1,7,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,4,4,1,4,4,4,4,4
5,12827,7,4,1,1,1,theCage,Lyrics,14,2,39,33,28,31,21,75,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,4,1,1,1,1,1,1,1,1,1,piano,19,Female,1,NA,7,1,7,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,4,4,1,4,4,4,4,4
5,6181,9,4,1,1,1,silentMoon,Lyrics,10,2,39,33,28,31,21,75,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,4,1,1,1,1,1,1,1,1,1,piano,19,Female,1,NA,7,1,7,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,4,4,1,4,4,4,4,4
5,7882,9,4,1,1,1,thatsAll,Lyrics,15,2,39,33,28,31,21,75,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,4,1,1,1,1,1,1,1,1,1,piano,19,Female,1,NA,7,1,7,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,4,4,1,4,4,4,4,4
5,11651,9,5,1,1,1,bambi,Lyrics,8,2,39,33,28,31,21,75,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,4,1,1,1,1,1,1,1,1,1,piano,19,Female,1,NA,7,1,7,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,4,4,1,4,4,4,4,4
5,11247,9,4,1,1,1,takeYouAb,Lyrics,4,2,39,33,28,31,21,75,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,4,1,1,1,1,1,1,1,1,1,piano,19,Female,1,NA,7,1,7,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,4,4,1,4,4,4,4,4
5,6771,9,4,1,1,1,noMoreMissNice,Lyrics,16,2,39,33,28,31,21,75,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,4,1,1,1,1,1,1,1,1,1,piano,19,Female,1,NA,7,1,7,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,4,4,1,4,4,4,4,4
5,7993,9,1,1,1,1,onMusic,Melody,17,2,39,33,28,31,21,75,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,4,1,1,1,1,1,1,1,1,1,piano,19,Female,1,NA,7,1,7,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,4,4,1,4,4,4,4,4
5,8758,5,1,1,1,1,dream,Melody,27,2,39,33,28,31,21,75,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,4,1,1,1,1,1,1,1,1,1,piano,19,Female,1,NA,7,1,7,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,4,4,1,4,4,4,4,4
5,8701,6,5,1,1,1,dancinInTheMoonlightC,Melody,19,2,39,33,28,31,21,75,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,4,1,1,1,1,1,1,1,1,1,piano,19,Female,1,NA,7,1,7,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,4,4,1,4,4,4,4,4
5,14280,1,1,1,6,1,toThisWeveCome,Melody,29,2,39,33,28,31,21,75,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,4,1,1,1,1,1,1,1,1,1,piano,19,Female,1,NA,7,1,7,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,4,4,1,4,4,4,4,4
5,8844,1,1,1,1,1,willowSong,Lyrics,6,2,39,33,28,31,21,75,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,4,1,1,1,1,1,1,1,1,1,piano,19,Female,1,NA,7,1,7,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,4,4,1,4,4,4,4,4
5,13332,1,1,6,1,1,goognightMoon,Melody,25,2,39,33,28,31,21,75,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,4,1,1,1,1,1,1,1,1,1,piano,19,Female,1,NA,7,1,7,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,4,4,1,4,4,4,4,4
5,6720,1,1,5,1,1,everyTimeWeSayGoodbye,Melody,23,2,39,33,28,31,21,75,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,4,1,1,1,1,1,1,1,1,1,piano,19,Female,1,NA,7,1,7,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,4,4,1,4,4,4,4,4
5,8093,9,6,1,1,1,thatsAll,Melody,31,2,39,33,28,31,21,75,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,4,1,1,1,1,1,1,1,1,1,piano,19,Female,1,NA,7,1,7,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,4,4,1,4,4,4,4,4
5,10277,6,5,1,1,1,owlAPussyCat,Lyrics,2,2,39,33,28,31,21,75,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,4,1,1,1,1,1,1,1,1,1,piano,19,Female,1,NA,7,1,7,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,4,4,1,4,4,4,4,4
