"","subjectNo","ACTIVE","PERCEPTUAL","MUSICAL","SINGING","EMOTIONS","GENERAL","classical","blues","country","dancElectronica","folk","rapHipHop","soulFunk","relgious","alternative","jazz","rock","pop","heavyMetal","SoundtracksThemeSongs","familyIncome","highestFather","highestMother","melodicTraning","melodicCourses","melodicPrivate","harmonicTraning","harmonicCourses","harmonicPrivate","sightsingTraning","sightsingCourses","sightsingPrivate","instrument","age","gender","meds","listMeds","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76"
"1",4,40,42,26,38,27,81,5,5,4,4,4,7,7,4,5,5,5,5,4,6,6,6,3,3,1,3,3,1,3,1,1,1,"piano",19,"male",1,NA,5,2,6,2,5,6,5,3,6,4,6,6,4,4,5,5,6,2,6,3,2,5,4,4,2,6,5,5,6,4,7,5,2,3,6,5,4,7
"2",5,39,33,28,31,21,75,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,4,1,1,1,1,1,1,1,1,1,"piano",19,"Female",1,NA,7,1,7,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,4,4,1,4,4,4,4,4
"3",6,31,54,12,34,35,70,1,2,5,2,1,7,7,7,1,2,2,7,1,1,2,2,4,1,1,1,1,1,1,1,1,1,"clarinet",19,"male",1,NA,5,2,1,5,1,4,4,3,6,5,7,5,5,6,6,6,7,7,2,1,1,1,1,4,2,1,7,5,5,5,6,5,4,6,7,6,5,7
"4",7,47,60,41,35,40,97,4,5,3,7,7,7,5,4,7,4,6,7,5,7,2,8,2,2,5,1,2,5,1,2,5,1,"Piano",26,"Male",1,NA,6,1,5,6,5,7,6,7,4,7,5,7,7,7,7,7,6,7,3,7,6,5,7,6,7,6,7,5,2,3,6,6,6,6,7,7,7,7
"5",8,48,58,41,43,36,113,6,5,5,3,6,4,5,6,5,6,4,5,1,5,4,7,8,1,1,1,1,1,1,1,1,1,"violin",23,"FEMALE",1,NA,7,4,6,6,4,7,6,4,4,7,6,6,6,6,7,7,7,6,7,7,7,5,4,7,4,7,7,7,7,7,6,2,5,7,7,5,6,6
"6",10,49,38,15,20,34,64,7,7,1,2,1,7,7,6,4,7,4,7,3,6,1,1,1,1,1,1,1,1,1,1,1,1,"Piano",19,"FEMALE",1,NA,7,1,7,7,3,7,7,3,7,7,6,1,4,2,4,5,4,5,4,2,1,1,1,3,3,1,2,1,6,3,6,1,2,7,7,4,7,7
"7",11,51,57,45,45,31,115,6,5,4,2,2,5,7,5,5,6,7,2,7,4,1,6,6,2,5,1,2,5,1,2,5,1,"drums",26,"MALE",1,"NONEn",7,5,6,5,7,7,4,7,3,6,6,5,7,6,7,7,6,7,7,7,5,7,6,6,7,7,7,7,7,6,6,5,5,5,6,5,4,6
"8",12,36,57,38,25,37,85,6,5,1,5,5,7,3,1,7,5,7,7,5,7,2,2,3,2,2,1,2,2,1,2,2,1,"Piccolo",25,"Female",1,NA,5,2,5,5,1,5,5,5,3,7,6,6,5,7,7,7,6,6,7,7,7,5,2,6,4,2,5,6,3,5,3,1,6,7,7,3,7,7
"9",13,44,47,28,24,31,72,4,7,1,1,1,7,7,3,5,7,3,5,1,4,5,6,6,1,1,1,1,1,1,1,1,1,"Piano",21,"FEMALE",1,NA,5,3,6,5,4,6,6,5,4,4,6,6,4,6,6,6,4,5,6,2,5,4,4,5,2,3,4,4,4,3,4,2,5,5,6,4,5,6
"10",14,31,45,14,21,29,50,2,1,1,6,1,7,6,2,7,2,6,7,3,6,3,3,3,1,1,1,1,1,1,1,1,1,"piano",23,"female",1,"none",5,1,3,2,3,3,6,1,7,5,6,5,6,6,5,5,2,5,1,1,2,4,3,1,2,5,3,2,2,1,6,2,1,7,6,2,6,7
"11",15,40,36,16,22,25,60,1,4,1,1,1,6,1,6,1,1,1,6,1,1,1,2,5,1,1,1,1,1,1,1,1,1,"none",19,"FEMALE",1,"NONE",7,1,4,7,7,4,1,2,7,6,6,7,4,4,5,1,2,1,4,7,1,1,1,1,1,1,7,1,1,1,6,5,3,1,7,4,4,6
"12",16,37,44,34,13,28,64,5,5,1,6,3,6,3,2,5,5,5,6,1,7,5,8,8,1,1,1,1,1,1,1,1,1,"piano",22,"MALE",1,"No",5,2,5,6,3,6,6,1,3,5,5,5,5,4,6,6,3,5,5,4,6,5,6,6,2,2,3,1,2,2,2,1,5,5,6,3,3,6
"13",17,46,36,24,20,39,65,7,5,1,6,1,5,4,4,5,6,5,7,3,7,2,1,1,1,1,1,1,1,1,1,1,1,"piano",22,"FEMALE",1,NA,6,1,6,6,7,6,7,1,6,5,2,5,4,4,3,5,5,3,3,2,4,4,4,5,2,1,3,1,4,3,5,3,7,7,7,5,7,6
"14",18,31,44,13,12,31,43,4,5,1,5,1,7,7,1,1,7,5,5,1,7,4,6,6,1,1,1,1,1,1,1,1,1,"none",20,"FEMALE",1,"none",1,1,5,1,1,5,6,4,7,7,6,5,4,3,6,6,5,2,1,7,1,1,1,1,1,1,1,1,1,5,2,1,4,5,6,4,5,7
"15",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24 Years",NA,NA,NA,NA,2,2,7,7,3,NA,NA,NA,NA,1,7,1,7,2,6,5,NA,NA,1,NA,NA,NA,NA,NA,NA,6,1,5,1,NA,NA,NA,6,2,5,2,1,NA
"16",20,30,36,11,22,40,52,4,6,2,6,7,5,6,5,7,5,4,5,1,6,1,5,8,1,1,1,1,1,1,1,1,1,"clarinet ",26,"FEMALE",1,"na",2,1,6,2,2,5,6,2,4,7,3,6,2,4,2,6,4,2,3,1,1,3,1,1,1,2,2,6,7,2,2,1,6,7,7,6,7,7
"17",21,31,46,7,18,32,46,5,4,5,1,1,5,4,5,5,5,7,2,6,5,5,2,3,1,1,1,1,1,1,1,1,1,"I do not play an instrument ",22,"Female",1,NA,4,1,4,2,3,4,6,5,2,2,6,7,4,6,3,6,7,5,1,1,1,1,1,1,1,2,6,1,2,3,3,1,5,6,6,2,6,7
